#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
0.0000 2635.8212 -99999 -99999 -99999 -99999 -99999     
1.0000 2630.8509 -99999 -99999 -99999 -99999 -99999     
2.0000 2625.8806 -99999 -99999 -99999 -99999 -99999     
3.0000 2620.9104 -99999 -99999 -99999 -99999 -99999     
4.0000 2615.9402 -99999 -99999 -99999 -99999 -99999     
5.0000 2610.9701 -99999 -99999 -99999 -99999 -99999     
6.0000 2606.0000 -99999 -99999 -99999 -99999 -99999     
7.0000 2601.0299 -99999 -99999 -99999 -99999 -99999     
8.0000 2596.0598 -99999 -99999 -99999 -99999 -99999     
9.0000 2591.0898 -99999 -99999 -99999 -99999 -99999     
10.0000 2586.1197 -99999 -99999 -99999 -99999 -99999          
11.0000 2581.1497 -99999 -99999 -99999 -99999 -99999     
12.0000 2576.1796 -99999 -99999 -99999 -99999 -99999     
13.0000 2571.2095 -99999 -99999 -99999 -99999 -99999     
14.0000 2566.2393 -99999 -99999 -99999 -99999 -99999     
15.0000 2561.2692 -99999 -99999 -99999 -99999 -99999     
16.0000 2556.2989 -99999 -99999 -99999 -99999 -99999     
17.0000 2551.3287 -99999 -99999 -99999 -99999 -99999     
18.0000 2546.3583 -99999 -99999 -99999 -99999 -99999     
19.0000 2541.3879 -99999 -99999 -99999 -99999 -99999     
20.0000 2536.4175 -99999 -99999 -99999 -99999 -99999     
21.0000 2531.4469 -99999 -99999 -99999 -99999 -99999     
22.0000 2526.4763 -99999 -99999 -99999 -99999 -99999     
23.0000 2521.5056 -99999 -99999 -99999 -99999 -99999     
24.0000 2516.5348 -99999 -99999 -99999 -99999 -99999     
25.0000 2511.5638 -99999 -99999 -99999 -99999 -99999     
26.0000 2506.5928 -99999 -99999 -99999 -99999 -99999          
27.0000 2501.6217 -99999 -99999 -99999 -99999 -99999          
28.0000 2496.6504 -99999 -99999 -99999 -99999 -99999          
29.0000 2491.6790 -99999 -99999 -99999 -99999 -99999          
30.0000 2486.7075 -99999 -99999 -99999 -99999 -99999          
31.0000 2481.7359 1.0576 1.0918 1.0846 1.0570 1.0604
32.0000 2476.7641 1.1189 1.1260 1.0915 1.0918 1.1040
33.0000 2471.7922 1.1339 1.1431 1.0835 1.1233 1.1163
34.0000 2466.8201 1.1082 1.1036 1.0867 1.0793 1.0790
35.0000 2461.8479 1.1215 1.1244 1.1336 1.0991 1.0975
36.0000 2456.8755 1.1119 1.1505 1.0835 1.1047 1.0813
37.0000 2451.9029 1.1059 1.1200 1.0690 1.0767 1.0953
38.0000 2446.9302 1.1184 1.1302 1.1078 1.0755 1.0973
39.0000 2441.9573 1.1017 1.1072 1.0674 1.0795 1.0941
40.0000 2436.9842 1.0729 1.0831 1.0423 1.0467 1.0501
41.0000 2432.0110 1.0855 1.1150 1.0663 1.0683 1.0609
42.0000 2427.0376 1.1037 1.1222 1.0630 1.0529 1.0823
43.0000 2422.0640 1.1132 1.1301 1.0807 1.0597 1.0890
44.0000 2417.0902 1.1469 1.1328 1.1174 1.1389 1.1496
45.0000 2412.1162 1.1442 1.1499 1.1238 1.1026 1.1210
46.0000 2407.1420 1.1265 1.1481 1.0930 1.1187 1.1012
47.0000 2402.1676 1.1085 1.0997 1.1005 1.1026 1.1047
48.0000 2397.1930 1.1234 1.1224 1.1080 1.1072 1.1485
49.0000 2392.2182 1.0948 1.1293 1.0938 1.1166 1.1405
50.0000 2387.2432 1.1027 1.1326 1.1029 1.0832 1.1201
51.0000 2382.2680 1.1177 1.1461 1.0907 1.1585 1.1138
52.0000 2377.2926 1.1137 1.0934 1.0800 1.0811 1.0396
53.0000 2372.3170 1.1062 1.1002 1.0877 1.1250 1.0853
54.0000 2367.3411 1.0936 1.0988 1.0791 1.0437 1.0732
55.0000 2362.3650 1.1119 1.1381 1.1006 1.0572 1.0735
56.0000 2357.3887 1.1026 1.1244 1.0882 1.1061 1.0891
57.0000 2352.4122 1.1226 1.1581 1.1192 1.1125 1.1263
58.0000 2347.4354 1.1236 1.1548 1.1309 1.1934 1.1434
59.0000 2342.4584 1.1209 1.1323 1.0845 1.0950 1.0942
60.0000 2337.4812 1.1129 1.1045 1.0760 1.0952 1.1101
61.0000 2332.5037 1.1442 1.1516 1.1179 1.1041 1.1166
62.0000 2327.5260 1.1315 1.1360 1.1038 1.1165 1.1101
63.0000 2322.5481 1.1292 1.1506 1.1188 1.1060 1.1457
64.0000 2317.5699 1.1226 1.1296 1.0959 1.1036 1.0971
65.0000 2312.5915 1.1403 1.1240 1.0916 1.1011 1.1051
66.0000 2307.6128 1.1594 1.1664 1.1148 1.1214 1.1250
67.0000 2302.6339 1.1932 1.1721 1.1273 1.1484 1.1709
68.0000 2297.6547 1.1442 1.1339 1.1206 1.1250 1.1297
69.0000 2292.6753 1.0746 1.1026 1.0791 1.0679 1.0827
70.0000 2287.6957 1.0571 1.0598 1.0400 1.0529 1.0807
71.0000 2282.7157 1.0534 1.0540 1.0335 1.0536 1.0561
72.0000 2277.7356 1.0891 1.0787 1.0595 1.0580 1.0495
73.0000 2272.7552 1.1060 1.1041 1.0804 1.0903 1.1005
74.0000 2267.7745 1.1358 1.1360 1.1159 1.1275 1.1186
75.0000 2262.7936 1.1343 1.1134 1.0949 1.1096 1.1271
76.0000 2257.8124 1.1398 1.1346 1.1083 1.1160 1.1316
77.0000 2252.8309 1.1121 1.1276 1.0910 1.0994 1.1061
78.0000 2247.8492 1.1377 1.1531 1.1156 1.1577 1.1400
79.0000 2242.8673 1.0899 1.1031 1.0773 1.1104 1.1186
80.0000 2237.8851 1.1153 1.1344 1.1028 1.1288 1.1709
81.0000 2232.9026 1.1132 1.1058 1.0764 1.1051 1.0905
82.0000 2227.9199 1.1495 1.1622 1.1233 1.1225 1.1257
83.0000 2222.9369 1.1610 1.1657 1.1649 1.1756 1.1692
84.0000 2217.9536 1.1496 1.1676 1.1303 1.1601 1.1656
85.0000 2212.9701 1.1213 1.1247 1.1052 1.1106 1.1177
86.0000 2207.9863 1.0911 1.0884 1.0322 1.0699 1.0747
87.0000 2203.0022 1.0633 1.0793 1.0432 1.0569 1.0708
88.0000 2198.0179 1.0332 1.0446 1.0174 1.0317 1.0578
89.0000 2193.0333 1.0784 1.1080 1.0730 1.0522 1.0610
90.0000 2188.0485 1.0850 1.1112 1.0974 1.1152 1.1056
91.0000 2183.0634 1.1140 1.1448 1.1131 1.1186 1.1327
92.0000 2178.0780 1.1256 1.1258 1.0981 1.1071 1.1146
93.0000 2173.0924 1.1298 1.1194 1.0931 1.1228 1.1241
94.0000 2168.1065 1.1096 1.1256 1.0856 1.1092 1.1108
95.0000 2163.1204 1.1314 1.1533 1.1197 1.1392 1.1466
96.0000 2158.1339 1.1217 1.1296 1.0967 1.1365 1.1513
97.0000 2153.1472 1.0930 1.1085 1.0663 1.0886 1.1297
98.0000 2148.1603 1.1158 1.1333 1.1154 1.0987 1.0905
99.0000 2143.1731 1.1342 1.1490 1.1139 1.1253 1.0985
100.0000 2138.1856 1.1531 1.1644 1.1306 1.1452 1.1239
101.0000 2133.1979 1.2085 1.2146 1.1769 1.1856 1.2011
102.0000 2128.2099 1.1662 1.1644 1.1244 1.1422 1.1653
103.0000 2123.2216 1.0985 1.1011 1.0889 1.0897 1.1040
104.0000 2118.2331 1.0832 1.0843 1.0570 1.0831 1.0736
105.0000 2113.2443 1.0750 1.0681 1.0323 1.0346 1.0612
