# Wavelength transmittance
350 0.92596452
351 0.92605407
352 0.92615341
353 0.92624655
354 0.92635168
355 0.92646308
356 0.92656958
357 0.92665405
358 0.92672263
359 0.92677758
360 0.92683727
361 0.92690438
362 0.92697576
363 0.92704051
364 0.92709556
365 0.92714495
366 0.92720525
367 0.92727633
368 0.92736592
369 0.92745430
370 0.92752652
371 0.92757315
372 0.92761074
373 0.92763871
374 0.92769604
375 0.92776087
376 0.92780796
377 0.92783220
378 0.92783701
379 0.92781199
380 0.92780975
381 0.92783762
382 0.92788220
383 0.92794308
384 0.92800363
385 0.92804134
386 0.92807346
387 0.92809102
388 0.92810043
389 0.92811836
390 0.92814370
391 0.92817196
392 0.92820627
393 0.92822603
394 0.92823576
395 0.92825536
396 0.92828870
397 0.92833645
398 0.92839085
399 0.92843504
400 0.92845629
401 0.92846625
402 0.92847391
403 0.92849291
404 0.92851102
405 0.92853090
406 0.92854794
407 0.92856433
408 0.92858137
409 0.92861553
410 0.92865616
411 0.92869639
412 0.92872679
413 0.92875330
414 0.92877237
415 0.92879603
416 0.92882226
417 0.92884721
418 0.92886782
419 0.92888843
420 0.92890465
421 0.92892283
422 0.92895153
423 0.92898202
424 0.92900903
425 0.92903783
426 0.92906259
427 0.92907519
428 0.92909284
429 0.92911482
430 0.92913802
431 0.92916696
432 0.92919924
433 0.92921465
434 0.92922111
435 0.92922857
436 0.92924089
437 0.92926296
438 0.92929548
439 0.92932797
440 0.92935154
441 0.92935874
442 0.92935538
443 0.92934814
444 0.92933947
445 0.92933794
446 0.92934587
447 0.92935551
448 0.92936949
449 0.92938378
450 0.92939403
451 0.92940160
452 0.92940675
453 0.92940105
454 0.92939767
455 0.92940186
456 0.92941319
457 0.92943720
458 0.92947328
459 0.92950120
460 0.92952144
461 0.92953958
462 0.92955568
463 0.92957235
464 0.92959857
465 0.92962425
466 0.92964635
467 0.92966584
468 0.92968469
469 0.92969959
470 0.92971282
471 0.92972202
472 0.92973080
473 0.92973483
474 0.92973792
475 0.92974028
476 0.92974745
477 0.92975946
478 0.92977633
479 0.92979449
480 0.92981285
481 0.92982735
482 0.92983575
483 0.92983925
484 0.92983643
485 0.92982555
486 0.92981225
487 0.92979983
488 0.92979234
489 0.92979149
490 0.92979909
491 0.92980673
492 0.92981049
493 0.92981614
494 0.92982250
495 0.92982137
496 0.92981886
497 0.92981778
498 0.92982152
499 0.92983684
500 0.92986490
501 0.92989571
502 0.92992480
503 0.92994677
504 0.92995938
505 0.92996838
506 0.92997923
507 0.92999286
508 0.93001222
509 0.93003849
510 0.93007271
511 0.93011291
512 0.93015241
513 0.93018158
514 0.93019937
515 0.93020719
516 0.93020962
517 0.93021661
518 0.93023075
519 0.93024790
520 0.93027222
521 0.93030055
522 0.93032698
523 0.93035308
524 0.93037736
525 0.93039207
526 0.93040270
527 0.93041813
528 0.93043800
529 0.93046070
530 0.93048570
531 0.93050702
532 0.93052293
533 0.93053635
534 0.93054758
535 0.93055633
536 0.93056559
537 0.93057460
538 0.93058337
539 0.93059459
540 0.93060441
541 0.93061417
542 0.93062761
543 0.93064037
544 0.93065350
545 0.93067033
546 0.93068480
547 0.93069567
548 0.93071046
549 0.93072926
550 0.93074949
551 0.93077095
552 0.93078518
553 0.93078881
554 0.93078866
555 0.93078700
556 0.93079343
557 0.93081343
558 0.93083754
559 0.93085461
560 0.93086240
561 0.93085438
562 0.93083774
563 0.93082517
564 0.93082065
565 0.93082168
566 0.93083106
567 0.93084276
568 0.93085371
569 0.93086760
570 0.93088708
571 0.93090923
572 0.93093366
573 0.93095523
574 0.93096942
575 0.93097579
576 0.93097724
577 0.93097275
578 0.93097127
579 0.93097043
580 0.93097497
581 0.93098973
582 0.93101242
583 0.93103032
584 0.93104607
585 0.93104929
586 0.93104450
587 0.93104047
588 0.93104771
589 0.93105693
590 0.93106910
591 0.93107883
592 0.93109039
593 0.93109956
594 0.93111457
595 0.93113137
596 0.93114601
597 0.93115328
598 0.93116379
599 0.93117088
600 0.93118348
601 0.93120622
602 0.93123422
603 0.93125786
604 0.93128251
605 0.93130047
606 0.93130935
607 0.93131609
608 0.93132393
609 0.93132371
610 0.93132512
611 0.93133048
612 0.93134239
613 0.93136888
614 0.93141170
615 0.93144846
616 0.93147219
617 0.93148172
618 0.93147343
619 0.93145967
620 0.93145551
621 0.93146041
622 0.93147214
623 0.93148853
624 0.93149980
625 0.93150334
626 0.93150290
627 0.93149900
628 0.93149703
629 0.93149936
630 0.93150981
631 0.93152631
632 0.93154572
633 0.93156490
634 0.93158098
635 0.93159010
636 0.93160066
637 0.93161894
638 0.93164289
639 0.93167380
640 0.93170180
641 0.93171842
642 0.93172116
643 0.93172105
644 0.93172129
645 0.93172549
646 0.93172693
647 0.93172932
648 0.93173444
649 0.93174456
650 0.93177209
651 0.93180536
652 0.93182939
653 0.93183770
654 0.93183583
655 0.93181849
656 0.93181183
657 0.93182499
658 0.93185312
659 0.93189129
660 0.93193251
661 0.93195913
662 0.93196892
663 0.93196775
664 0.93196102
665 0.93195808
